User Name,Annotation,comment_Text,Multi,Score,Reply Content,Unnamed: 6
Carl Maraspini,Non_Functional,"Easy to set up and use. Easy to see how many steps you've done, distance walked and calories burnt. Have had to modify my review as spam ad recently appeared when using app. The ad is from a known dodgy website that tries to get you to submit your personal and bank details on the pretext that you have won an iPhone. A pity this developer has not taken more care as to who they allow to advertise on their site. Have now uninstalled this app and am using a different one.",Reliability,1,,
shirish herwade,Non_Functional,"Uninstaller because of too much adds and pop-ups. I understand ads are way of earnjng, but it was like 90% of time I was closing adds. I used app for 4 minutes and more than 3 and half minutes I was either closing adds or waiting for to finish so that I can close them. It was just irritating.",Usability,1,,
A Google user,Non_Functional,"App stops working. Today i walk 3 km only to find out when i open the app ""Resume workouts"" the app had stop working after 0.5 km. This is happening everyday. Fix this bug. only time the app is working properly is you'll have to keep checking your phone every now and then to see if it stop working, so you could resume where you left",Reliability,1,,
Srini Sivabalan,Non_Functional,"Not accurate for me. A 11.5 km walk was shown as 10 km. There could be any number of explanations for this but I have a good phone and it should have been more accurate. UPDATE: The developer's response is satisfactory. I will raise the star rating if it improves. As I admitted in my original post, there can be multiple explanations for this; so not rushing to blame the app.",Accuracy,1,"Hi Srini, sorry for the inconvenience.
This APP uses the built-in sensor in the phone to count steps, and it works fine when the sensor is stable.
We are aware of your issue. We will work hard to improve the algorithm. Hope to provide you with a better experience.",
Deb Burgett,Non_Functional,This app wanted me to put in a specific time i would be walking in only 1 hour increments. I could not choose all day. And it stopped working mid workout. I had another music app running at same time but if that is something i cant so then it is worthless. Dont get it!,Performance,1,,
Alessandra,Non_Functional,"All those nice features are pretty useless if the counter keeps stopping and I lose a lot of unrecorded data. Before and AFTER I changed the settings. I mean, staying on and tracking in background too is the main feature in a step counter.",Reliability,1,,
Catalin Teletin,Non_Functional,"One day it works, the next one, it doesn't, (didn't have this problem with the free version). The sensors of the phone are ok, the default pedometer app works all the time.",Reliability,1,"Hello Catalin, sorry for the inconvenience. Please click on the ""How to fix"" option on the Profile page to remove possible restrictions. And turn on the notifications and release the power limit of the battery manager to ensure that the pedometer counts your steps in real time as much as possible in the background.",
Abid Kureshi,Non_Functional,"""Support for syncing data with Google Fit."" How does it do it? I don't see any documents. There is no setting to sync with Google Fit. I sent repeated request to the app support team. No response in last month. Still waiting.",Reliability,1,,
Lars Sundstrom,Non_Functional,"Just went for a walk using the app. 11.56 km in 1 hour 55 minutes. All correct according to GPS/watch. According to the app i did it in 285 steps or 38 meters per step. And i burnt 16 cal. 38 meter long steps, awesome!!! I am now world record holder in longjump......so actuall compleetly incorrect. Useless.",Usability,1,,
Shiva karthi,Non_Functional,Too many ads. Uninstalled.,Usability,1,,
Geronimo,Non_Functional,"Had this app for a few months , It is so stupd , cant to back and see ANY progress i ever did , ITS TO CO?FUSING , DELETING AND UNINSTALLING . TOTALLY DUMB APP",Usability,1,"Hi Geronimo, we apologize for any inconvenience caused. You can click on the step count on the home page to see your previous step data, or view past achievements from the achievements page. We will continually strive to improve our app to better meet your needs.",
j adams,Non_Functional,This app was fine when I installed it but is now so loaded with ads that can't be shut down it is worthless.,Usability,1,"Hi, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Morphogen Recordings,Non_Functional,uninstalled since the update. im not turning off all those sites wanting to read your cookies.,Usability,1,,
Bret Moock,Non_Functional,"It works, yes. So one might be rough. The ads make it horrible. I could even close the ad without getting out of the app. I understand that is how they get paid but, makes a way to close it! I used to really like this app!",Usability,1,"Hi Bret, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.",
JoAnn Herren,Non_Functional,I am trying to get to my Safeway app and cannot do it for some reason abd I'm furious! I know it's in my phone because I use it every week. I'm not changing my review until you get me into my Safeway app!,Usability,1,"Hello JoAnn, we will not prevent you from using other apps. Could you please provide more details?",
CJ E. Andrews,Non_Functional,"I don't like that this app has a pop-up that I can't close that FORCES me to leave a rating while showing a picture with an arrow pointing at the 5 star review basically demanding I leave a good review in order to continue to use the app. There is NO way to close the pop-up unless you select a rating. This is WRONG. Because of this, I am leaving a review....a NEGATIVE ONE since the app is FORCING me to leave a review to even use the app.",Usability,1,"Hi CJ, I'm sorry that our rating request disturbs you. We will try to adjust our strategy of rating invitation. If you have any questions or suggestions, please feel free to contact us.",
vidmantas tvardauskas,Non_Functional,Actually activity when moving phone not step,Usability,1,"Hi Vidmantas, sorry for the inconvenience.
Due to system limitations, the sensor in your phone may mistaken the shaking for walking. It may count steps if you shake the phone.
We will continue to optimize the algorithm and hope to bring you a better product experience.",
L Ratcliff,Non_Functional,"This app works very well as a pedometer and it has a lot of nice features, so I chose to upgrade to the paid version. Every single time I use it, it reverts to the ad-supported version, and I have to delete and reinstall to remove the ads. The developers never respond to support requests. So, use the app, but do not bother to pay for it, unless you like seeing full screen ads that you can't skip, and you like reinstalling apps every day.",Usability,2,"Hi L, sorry for your inconvenience again. Did you log in with multiple accounts? The default account at the moment may not be the one you used to pay for. Please check.",
A Google user,Non_Functional,"Far from the best, or even acceptable when there many many alternatives. Constant notifications that cannot be disabled. The only settings the app has at all are related to the voice (yes, voice). The app insists on verbally announcing everythin.! I understand how one might want each mile announced (can be disabled), but i don't need an announcement every time I start or exit the app (cannot be disabled)! I like simple, but this app tries too hard--and fails.",Usability,2,"Hey Travis, thank you for using our products and giving us suggestions. Many users mentioned this problem. You can select ""Training-setting-voice feedback"" to turn off all voice prompts. You can also contact us, our email is steptrackerfeedback@gmail.com, I believe that the discussion with you can help our products become better",
Cartoonist Ron,Non_Functional,Far too many intrusive ads which only appear since I reinstalled this software. The map always shows the incorrect route and is totally useless. About to uninstall the software.,Usability,2,"Hi Cartoonist, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. Data points may be lost due to weak GPS signal or system permission restrictions.
It is recommended that you keep our app in the foreground and try again in an area with a strong GPS signal.",
Ian Jaffray,Non_Functional,"App keeps stopping on its own and doesn't start again without a reset. Installed twice, the second time with an updated version, same problem. Otherwise I liked it, but it's annoying to check in after a couple of days of big walks to find nothing has been recorded. Also, doesn't have a kilometres option and my suggestion to add it has been ignored. Uninstalling for good now ...",Usability,2,"Hi Ian Jaffray, we are really sorry for the problem you encountered. 
Could you please send us a feedback email with the description of your problem via â€œProfile--Feedback""? This will help us a lot to locate and fix the bug.
Looking forward to your reply.
Best regards,
Leap Fitness Group",
Boxcar Rick,Non_Functional,All I can say is that I'm really enjoying this app. It's helping me with organizing my workout and track everything. Update: it's not the best nor is it the worst. I'm about to uninstall. I've emailed the creator through the app about some really great ideas etc not one word in response it's been a few months. So since they don't value feedback or what the user experiences and thinks of app. Bye,Reliability,2,"Hi Boxcar, thanks for using our app and giving us your suggestion. It's a great suggestion, we will take it seriously and do our best to make some improvements. If you have any other problem, please contact us via â€œMore--Feedback"".
Best regardsðŸŒ¹ðŸŒ¹,
Leap Fitness Group",
Robert Simmons,Non_Functional,"I've only used this for a couple of days but I think I've got the basics ok. As far as tracking activity etc goes I believe it to be very good. What's put me off this app. is that there a far too many ads and links that take it over. Sometimes you won't know if you're looking at an ad or the exercise information! Also, today I did a 2 mile walk with my phone loose I'm my pocket on its own. Strangely, somewhere along the walk this app or a link decided I needed You Tube music and downloaded it!",Usability,2,"Hi Robert, sorry for the inconvenience. 
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by ""Remove ads"" subscription on the â€œProfile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits. 
Thank you for understanding.",
A Google user,Non_Functional,"Would not close competely... Worked great in tracking my walk, but... Swiped up to close. Still in memory when swiping down from top of screen. Tried exiting from recent programs. It was still loaded and giving voice updates. The only way to get it unloaded from memory was to uninstall it. What. The. Hey? Samsung Galaxy S10+. Android 10. 734gb/1tb.",Usability,2,,
Dan D,Non_Functional,"I get why there needs to be advertising on apps. The advertising use to be at the bottom which did not interfer with the functionality of the this app. Now, when ever I open it I get a commercial. This does not work well for a sports app that needs to be viewed in real time.",Usability,2,"Hi Dan, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Lynn Hansen,Non_Functional,"Twice now I have gotten to level 5 or higher and the language has gone from English to a Middle Eastern language, possibly Turkish. I have lived this app to challenge myself and keep track of good days and bad days. I can find no way to correct this error, so I will be deleting the app.",Usability,2,"Hi Lynn, we are really sorry for the problem you encountered.
Could you please send us a feedback email with the description of your problem via â€œProfile--Feedback""? This will help us a lot to locate and fix the bug.
Looking forward to your reply. â€¨Best regardsðŸŒ¹ðŸŒ¹,
Leap Fitness Group",
Stephen Haas,Non_Functional,The app has a great design. So why such a low rating? It doesn't work on my phone. I have tired all the recommended troubleshooting and even reached out to the developers but like the other person said it had been over a week with no response. I liked the original Step Tracker App. Unless this one gets fixed I'm deleting it.,Reliability,2,,
Cartoonist Ron,Non_Functional,Far too many intrusive ads which only appear since I reinstalled this software. The map always shows the incorrect route and is totally useless. About to uninstall the software.,Usability,2,"Hi Cartoonist, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. Data points may be lost due to weak GPS signal or system permission restrictions.
It is recommended that you keep our app in the foreground and try again in an area with a strong GPS signal.",
Darryl N,Non_Functional,"It worked great for 6 months, but now the ads are so intrusive as to make it a pain to use.",Usability,2,"Hi Darryl, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Bhanu Rastogi,Non_Functional,"I am going to uninstall this app because few days ago it was working good,but I don't know now why this is giving wrong data. I uploaded this app but still wrong data.",Usability,2,"Hi Bhanu, sorry for the inconvenience. This app uses the built-in sensor in the phone to count steps, but the sensor of different devices differs. We will continue to work hard to improve the algorithm. Hope to bring you a better experience. In addition, failure to grant step counting permissions will also affect the results.",
R Malcolm,Non_Functional,So many ads,Usability,2,"Hi R, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Gail Constable,Non_Functional,Good tracker with access to previous history but only works if phone held in hand whereas other apps track if in pocket or purse.,Usability,2,"Hi Gail, sorry for the inconvenience. We fully understand your feelings. This app uses the built-in sensor in the phone to count steps, but the sensor of different devices differs. We will continue to work hard to improve the algorithm. Hope to bring you a better experience.",
Andrew Hansen,Non_Functional,"Pedometer and gps tracker work well but ads are egregious. Just opening the app and checking weekly progress triggers a full screen ad, not to mention banners on every screen. For such a simple app with zero maintenance cost this level of advertising is gross.",Usability,2,"Hi Andrew, sorry for the inconvenience. We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page. This app is completely free for all users, so we need to display ads to earn some meager profits. Thank you for understanding.",
MNazir Nawawi,Non_Functional,I like the apps but the ads is annoying.. always...because the ads ill give 2*,Usability,2,"Hi, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Titanium Tray,Non_Functional,Too many ads,Usability,2,"Hi, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Steven Williams,Non_Functional,"I don't like having to wait for ads to load before I can actually use the app ðŸ˜•. When I want to use it, it should be ready to use.",Usability,2,"Hi Steven, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Cameron Ramsey,Non_Functional,Good but reverted to an obscure language and no response to attempts to switch back. Data list twice now.,Usability,2,"Hi Cameron, we are really sorry for the problem you encountered.
Could you please send us a feedback email with the description of your problem via â€œProfile--Feedback""? This will help us a lot to locate and fix the bug.
Looking forward to your reply.",
Henry Logue,Non_Functional,"This is an updated review. The app is great and dependable and does exactly what it's supposed to do (walk, run, or drive). It keeps it's end up. However, I've contacted support twice and the problems persists. They responded once but didn't fix the issues. If you don't respond I'm giving one â",Usability,2,"Hello Henry, we have reviewed and responded to your email.
As we said in the email, the training function uses GPS, so the training results are related to the strength of the GPS signal and whether the GPS status is abnormal.
We will keep you informed of any progress.",
Elin,Non_Functional,Did enjoy it until nr of steps became accessible only in the app forcing you to watch an ad first. No thanks.,Usability,2,"Hi, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also subscribe ""Remove ads"" service on the ""Profile"" page.
This app is free to use, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Barry F,Non_Functional,"Great app. I'm hooked on it. I had no idea how many miles I walked on an average day. Now I know. EDIT: I bought anew phone and added the app butter new version has loud pop-up ads. Going to search for another that does have e irritating ads. ANOTHER EDIT: Yes, we can get rid of obnoxious ads for a self renewing subscription. My solution is to change pedometer app. Your newad strategy is very irritating.",Usability,3,"Hi Barry, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Brandon Petroski,Non_Functional,"This app used to be amazing, but the intrusive ads seem to actually be breaking the core functionality now. I've had several instances of the app simply not recording steps, because the ads had to load in. I'm a developer for a living, and my only educated guess would be that your ad module was trying to pull in data from your ad vendor, but since I was roaming or traveling, it couldn't pull the ads, and thus the step tracking functionality failed. Edit: Fixed my horrendous spelling.",Usability,3,"Hello Brandon, sorry for the inconvenience. Our app is completely free to use, so we need to display ads for a small profit. Our developers are addressing the issue you describe, and we hope to resolve it for you as soon as possible.",
Joe McKinney,Non_Functional,"I've been using this app for a while now, and I like it. Lately though, there has been a change in chosen language - from English to another language that I can't decipher. I would like to change it back to English, but I can't read the current language to even to begin to look. Any help would be appreciated. Thanks.",Usability,3,"Hello Joe, we apologize for any inconvenience. To change your language, find the small globe icon on your profile page and select English. We kindly request that you provide us with further information about the issue by sending a feedback email via Profile Feedback. This will help us a lot to fix the bug.",
Peter,Non_Functional,"Yea it is pretty good, but there's a home landing page now that takes an eternity to load while presumably it hoovers up your personal data. Before, it was quick and simple. If I am missing something here, I'm sure the editor of the app will provide some help and support...",Performance,3,"Hi Peter, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Peace 2U LM,Non_Functional,"The app worked quite well to begin with and I like the history, calories burned, time etc., but in the last few weeks it started making a loud sound a bit like an alarm of some kind. I've had to completely turn off the sound in order not to hear it while exercising. A few days ago it changed language without me being aware and I have no idea how to reset to English again. It would be good to find out how to do this.",Usability,3,"Hello, sorry for the inconvenience. Please find the little globe icon (representing language options) on your profile page and switch to English. In addition, please click the settings icon in the lower left corner of the Training page, click the TTS option and test it to see if the problem is caused by the abnormality of TTS.",
Jeff Simon,Non_Functional,"It used to be good until they increased the annoying ads on the latest update, so not right! I can't pay for every app to be ad free, not rich at all! I think Google Fit is better now than having to deal with annoying ads everytime I go walking outside! ðŸ˜”",Usability,3,"Hi Jeff, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Jeff Baker,Non_Functional,All my data was wiped out.I even did a reinstall.Too bad.I waa at the highest level. Well my data came back.Still has its flaws with too many ads and not consistant,Reliability,3,"Hi Jeff, sorry for the inconvenience.
This app is completely free for all users, so we need to display ads to earn some meager profits.
We use the built-in sensor in the phone to count steps, but the sensor of different devices differs. We will continue to work hard to improve the algorithm. Thanks for the understanding.",
Derk Wehler,Non_Functional,"I like this app, and would consider paying for it (ads are very annoying), but I can't see any way to turn off The Fan Fair, the notifications I don't really want. I don't need to see celebratory animations every time I reach a goal. I just need functionality.",Usability,3,"Hi Derk, thanks for your love and support.
We will take what you said seriously and do our best to make some improvements. If you have any other problem, please feel free to contact us again.
Best regardsðŸŒ¹ðŸŒ¹",
Trail Trekker,Non_Functional,"I've been repeatedly ignored about having more goals, incentives added. Nothing new. I'm not far from reaching ""Earth's core."" No new levels (I've been on highest one a long time. Guess I'll ditch the app when I reach that unless more levels, etc. are added.",Usability,3,"Hi, thanks for your feedback.
This feature is already in our follow-up update plan, we will release a new version as soon as possible, hoping to bring you a better product experience.",
RAJESH KUMAR MESA (DR RAJESH MESA),Non_Functional,"Ok. If weight loossing graph is there, ot would be more beneficial.",Usability,3,"Hi Rajesh, thanks for using our app and giving us your suggestion. It's a great suggestion, and we will take it seriously and do our best to make some improvements. If you have any other problems, please contact us via ""Profile--Feedback"".",
Steven Stovall,Non_Functional,"Just used to be a great app. The ads on her happy came so intrusive though, I'm close to just uninstalling it..",Usability,3,"Hi Steven, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Fraser Henderson,Non_Functional,"This app has incessant notifications. I used it for 5 days during which time it sent audible notifications no less than 15 times. I have no wish to be hounded by an app. I can look at an app when I need to. When the app demands attention, it's soon uninstalled, as this one is.",Usability,3,,
William McCollom,Non_Functional,Had a similar version for 6 months and it worked perfectly. But in the last few weeks it stopped working for no reason. It was not counting my steps at all. Hopefully this version will be better.,Usability,3,,
Joe McKinney,Non_Functional,"I've been using this app for a while now, and I like it. Lately though, there has been a change in chosen language - from English to another language that I can't decipher. I would like to change it back to English, but I can't read the current language to even to begin to look. Any help would be appreciated. Thanks.",Usability,3,"Hello Joe, we apologize for any inconvenience. To change your language, find the small globe icon on your profile page and select English. We kindly request that you provide us with further information about the issue by sending a feedback email via Profile Feedback. This will help us a lot to fix the bug.",
Nikhil Raut,Non_Functional,Too much ads,Usability,3,"Hi Nikhil, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Barry F,Non_Functional,"Great app. I'm hooked on it. I had no idea how many miles I walked on an average day. Now I know. EDIT: I bought anew phone and added the app butter new version has loud pop-up ads. Going to search for another that does have e irritating ads. ANOTHER EDIT: Yes, we can get rid of obnoxious ads for a self renewing subscription. My solution is to change pedometer app. Your newad strategy is very irritating.",Usability,3,"Hi Barry, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Jeff Baker,Non_Functional,All my data was wiped out.I even did a reinstall.Too bad.I waa at the highest level. Well my data came back.Still has its flaws with too many ads and not consistant,Usability,3,"Hi Jeff, sorry for the inconvenience.
This app is completely free for all users, so we need to display ads to earn some meager profits.
We use the built-in sensor in the phone to count steps, but the sensor of different devices differs. We will continue to work hard to improve the algorithm. Thanks for the understanding.",
GARY STEINGROOT,Non_Functional,I liked this app then I got a new phone and had to start all over no history very disappointed,Usability,3,"Hi Gary, sorry for the trouble.
We recommend that you back up your current steps before uninstalling the app on your old phone by clicking ""Profile--Backup & Restore â€˜â€™. After installing on your new phone, you can click the same button to resume your steps.",
Steven Stovall,Non_Functional,"Just used to be a great app. The ads on her happy came so intrusive though, I'm close to just uninstalling it..",Usability,3,"Hi Steven, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Nicole M,Non_Functional,"I have been using this app aimed May 29th with no problem. The last few days, i.e. today I was at 20.1 miles and it reset itself. Then I was at 1.48 miles as the stat over and it shot up to 6 miles. Not sure what's going on but please fix it. I love this app.",Performance,3,"Hi Nicole, sorry about that.
Our developers are trying to locate your problem. We hope to solve it for you as soon as possible.
We apologize again for the inconvenience caused.
If you have any other questions, please contact us again.",
Alex Gibson,Non_Functional,Was 10/10 until the developers got greedy and put ads on.,Usability,3,"Hi Alex, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Heidelberg Graphics,Non_Functional,Switched to another language that I can't read or interpret. Occasionally blurts something in a foreign language when not in use..,Usability,3,"Hello, we apologize for any inconvenience. To switch the language to English, please locate the small globe icon on your profile page and select English. We kindly request that you provide us with more information about the issue by sending a feedback email via ""Profile-Feedback"". You will greatly assist us in identifying and resolving any bugs.",
Brian P,Non_Functional,"Was good for a good long while. I don't have an issue with occasional ads but now it's every time I interact with the app, shame really. Deleted it.",Usability,3,"Hi Brian, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
